category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:2000147	0.00443848701723127	0.998400846005306	14	65	positive regulation of cell motility	BP	0.279034251032756	1
GO:0001700	0.00445713016658003	0.997738885149738	28	167	embryonic development via the syncytial blastoderm	BP	0.279034251032756	1
GO:0043296	0.00448424534003048	0.998530651106581	12	55	apical junction complex	CC	0.279034251032756	1
GO:0005471	0.00460853929261264	1	2	2	ATP:ADP antiporter activity	MF	0.279034251032756	1
GO:0015866	0.00460853929261264	1	2	2	ADP transport	BP	0.279034251032756	1
GO:0015867	0.00460853929261264	1	2	2	ATP transport	BP	0.279034251032756	1
GO:0072530	0.00460853929261264	1	2	2	purine-containing compound transmembrane transport	BP	0.279034251032756	1
GO:0140021	0.00460853929261264	1	2	2	mitochondrial ADP transmembrane transport	BP	0.279034251032756	1
GO:1990544	0.00460853929261264	1	2	2	mitochondrial ATP transmembrane transport	BP	0.279034251032756	1
GO:0015748	0.00461477965520032	0.998894421628824	8	33	organophosphate ester transport	BP	0.279034251032756	1
GO:0040012	0.00468963220747401	0.997836820622016	22	123	regulation of locomotion	BP	0.281045331061542	1
GO:0048138	0.00469405989328267	0.999189221933269	6	19	germ-line cyst encapsulation	BP	0.281045331061542	1
GO:0044380	0.00474417185889876	0.999345733436479	5	15	protein localization to cytoskeleton	BP	0.282660073583363	1
GO:0045499	0.00478715877906984	0.999857900122477	3	4	chemorepellent activity	MF	0.283836686056112	1
GO:0060251	0.00485502298508649	0.999357444313494	5	13	regulation of glial cell proliferation	BP	0.286469810337422	1
GO:0043062	0.00505706938124983	0.997987185618091	16	84	extracellular structure organization	BP	0.296956949147045	1
GO:0035009	0.00508664163294491	0.99977550299958	3	5	negative regulation of melanization defense response	BP	0.29726431054923	1
GO:0006022	0.00519881895498794	0.998453283880625	10	49	aminoglycan metabolic process	BP	0.302373212934394	1
GO:0061343	0.00525263414883928	0.999313434694144	5	12	cell adhesion involved in heart morphogenesis	BP	0.304055324615748	1
GO:0048598	0.00528783440499301	0.99703071918475	36	239	embryonic morphogenesis	BP	0.304649101049928	1
GO:0043255	0.00538738646073199	0.999757113474102	3	5	regulation of carbohydrate biosynthetic process	BP	0.308358387513077	1
GO:0002697	0.0054637206519551	0.997947423207358	14	79	regulation of immune effector process	BP	0.308358387513077	1
GO:0006779	0.00547844850911559	0.999395055046248	4	14	porphyrin-containing compound biosynthetic process	BP	0.308358387513077	1
GO:0006783	0.00547844850911559	0.999395055046248	4	14	heme biosynthetic process	BP	0.308358387513077	1
GO:0033014	0.00547844850911559	0.999395055046248	4	14	tetrapyrrole biosynthetic process	BP	0.308358387513077	1
GO:0002682	0.00560218639429234	0.996882000092022	34	256	regulation of immune system process	BP	0.313876626696728	1
GO:0048569	0.00564891837141888	0.996294559994087	64	490	post-embryonic animal organ development	BP	0.315049721408722	1
GO:0030546	0.00568536735280662	0.99773330140936	15	111	signaling receptor activator activity	MF	0.315393351782415	1
GO:0055085	0.00570672431176632	0.996082665496826	79	705	transmembrane transport	BP	0.315393351782415	1
GO:0070851	0.00581861186385249	0.998741539754187	7	25	growth factor receptor binding	MF	0.319694127795119	1
GO:0048638	0.00583689131310886	0.996697837274708	36	244	regulation of developmental growth	BP	0.319694127795119	1
GO:0031667	0.005933368142314	0.996984276672457	26	177	response to nutrient levels	BP	0.321096547714884	1
GO:0008156	0.00593958624537614	0.999119343835849	5	16	negative regulation of DNA replication	BP	0.321096547714884	1
GO:0005886	0.00596122302914718	0.995445234355733	162	1480	plasma membrane	CC	0.321096547714884	1
GO:0008236	0.00597882186316915	0.997102456019528	22	230	serine-type peptidase activity	MF	0.321096547714884	1
GO:1990255	0.00599394243319089	0.999718831831721	3	5	subsynaptic reticulum organization	BP	0.321096547714884	1
GO:0045471	0.00606866832031225	0.997717554150703	14	69	response to ethanol	BP	0.322502525820999	1
GO:0007507	0.00613292436191464	0.997282183749434	19	105	heart development	BP	0.322502525820999	1
GO:0072359	0.00613292436191464	0.997282183749434	19	105	circulatory system development	BP	0.322502525820999	1
GO:0016614	0.00614437039756229	0.997367083724048	17	128	oxidoreductase activity, acting on CH-OH group of donors	MF	0.322502525820999	1
GO:0099081	0.00615220963781666	0.996633754525976	32	215	supramolecular polymer	CC	0.322502525820999	1
GO:1901658	0.00626034311863033	0.998793431391433	6	24	glycosyl compound catabolic process	BP	0.326768507910047	1
GO:0016538	0.00629961436002176	0.998814674275119	6	21	cyclin-dependent protein serine/threonine kinase regulator activity	MF	0.327419105503429	1
GO:0017171	0.00637189013853249	0.996605810042907	28	292	serine hydrolase activity	MF	0.328020066930522	1
GO:0098656	0.0063819235600671	0.997460457745339	15	87	anion transmembrane transport	BP	0.328020066930522	1
GO:0004033	0.00639174520463928	0.998996868311669	5	19	aldo-keto reductase (NADP) activity	MF	0.328020066930522	1
GO:0010559	0.00644852366998575	0.999689142169744	3	5	regulation of glycoprotein biosynthetic process	BP	0.328176117105025	1
GO:1903018	0.00644852366998575	0.999689142169744	3	5	regulation of glycoprotein metabolic process	BP	0.328176117105025	1
GO:0008084	0.00664008251970035	0.999617999338378	3	6	imaginal disc growth factor receptor binding	MF	0.331156853218487	1
GO:1901016	0.00664609651166811	0.998946951683062	5	19	regulation of potassium ion transmembrane transporter activity	BP	0.331156853218487	1
GO:0043268	0.00664614819721664	0.998946941489592	5	19	positive regulation of potassium ion transport	BP	0.331156853218487	1
GO:1901381	0.00664614819721664	0.998946941489592	5	19	positive regulation of potassium ion transmembrane transport	BP	0.331156853218487	1
GO:0004175	0.00665878316357203	0.996215882082672	34	344	endopeptidase activity	MF	0.331156853218487	1
GO:0015980	0.00668453892667351	0.996871304595683	20	176	energy derivation by oxidation of organic compounds	BP	0.331156853218487	1
GO:0031349	0.00673795864377418	0.997029043390417	18	117	positive regulation of defense response	BP	0.331156853218487	1
GO:0006778	0.00675984728026239	0.999194068253558	4	15	porphyrin-containing compound metabolic process	BP	0.331156853218487	1
GO:0042168	0.00675984728026239	0.999194068253558	4	15	heme metabolic process	BP	0.331156853218487	1
GO:0015154	0.00683931544001512	0.999662963809264	3	5	disaccharide transmembrane transporter activity	MF	0.331156853218487	1
GO:0015157	0.00683931544001512	0.999662963809264	3	5	oligosaccharide transmembrane transporter activity	MF	0.331156853218487	1
GO:0009790	0.00684031792753606	0.995386031242985	70	547	embryo development	BP	0.331156853218487	1
GO:0004152	0.00685956147570633	1	2	2	dihydroorotate dehydrogenase activity	MF	0.331156853218487	1
GO:0009991	0.00691446403371116	0.996439606866042	26	179	response to extracellular stimulus	BP	0.331750578638611	1
GO:0000077	0.0069261828682533	0.99802232132111	9	41	DNA damage checkpoint signaling	BP	0.331750578638611	1
GO:0007277	0.00700808699938404	0.998221660787118	8	30	pole cell development	BP	0.334362400822174	1
GO:0050660	0.0071988112703365	0.997321399123645	13	72	flavin adenine dinucleotide binding	MF	0.336499939563265	1
GO:0051444	0.00721163667008304	1	2	2	negative regulation of ubiquitin-protein transferase activity	BP	0.336499939563265	1
GO:1904667	0.00721163667008304	1	2	2	negative regulation of ubiquitin protein ligase activity	BP	0.336499939563265	1
GO:0071526	0.00722127846427951	0.999311041721653	4	8	semaphorin-plexin signaling pathway	BP	0.336499939563265	1
GO:0051716	0.00724081702955846	0.994295351600223	205	2036	cellular response to stimulus	BP	0.336499939563265	1
GO:1904776	0.0072423253389146	1	2	2	regulation of protein localization to cell cortex	BP	0.336499939563265	1
GO:0015711	0.00725537411894595	0.996868440625597	17	106	organic anion transport	BP	0.336499939563265	1
GO:0005215	0.00727329163621271	0.994836677771615	90	833	transporter activity	MF	0.336499939563265	1
GO:0048478	0.00734636950112481	0.999561179895615	3	6	replication fork protection	BP	0.338571767091074	1
GO:0016799	0.00743110429731789	0.999120443785796	4	13	hydrolase activity, hydrolyzing N-glycosyl compounds	MF	0.338571767091074	1
GO:0008037	0.00745391065273761	0.9964182841005	22	121	cell recognition	BP	0.338571767091074	1
GO:0040008	0.0074809931818991	0.995442199384833	44	317	regulation of growth	BP	0.338571767091074	1
GO:0016832	0.00748309498841864	0.99954992998452	3	6	aldehyde-lyase activity	MF	0.338571767091074	1
GO:0006040	0.0075160724583261	0.998023856684794	8	35	amino sugar metabolic process	BP	0.338571767091074	1
GO:0006820	0.00753223090083805	0.996092131174242	26	181	anion transport	BP	0.338571767091074	1
GO:0042030	0.00753983303166629	0.99986751815997	2	3	ATPase inhibitor activity	MF	0.338571767091074	1
GO:1901657	0.00757559607504927	0.997961891649176	8	42	glycosyl compound metabolic process	BP	0.338931613408981	1
GO:0009199	0.00764162304098991	0.997381366473212	11	69	ribonucleoside triphosphate metabolic process	BP	0.339441205313067	1
GO:0007155	0.00766272493276939	0.995664530455966	34	222	cell adhesion	BP	0.339441205313067	1
GO:0034097	0.00767035964191963	0.998011624717613	8	31	response to cytokine	BP	0.339441205313067	1
GO:0004867	0.00771043119774628	0.997635981716738	9	80	serine-type endopeptidase inhibitor activity	MF	0.33998269548474	1
GO:0016667	0.00778935950563645	0.997849541863645	8	53	oxidoreductase activity, acting on a sulfur group of donors	MF	0.342227471229653	1
GO:0000278	0.00782581824286305	0.994877566649422	58	486	mitotic cell cycle	BP	0.342513947466693	1
GO:0002684	0.0078655251923177	0.996479670010567	18	115	positive regulation of immune system process	BP	0.342513947466693	1
GO:0009081	0.00788000812495012	0.999072769673902	4	12	branched-chain amino acid metabolic process	BP	0.342513947466693	1
GO:0040017	0.00796393108397914	0.996900458721372	14	70	positive regulation of locomotion	BP	0.344799347774174	1
GO:0002225	0.00804550631370883	0.997266144454172	11	57	positive regulation of antimicrobial peptide production	BP	0.344799347774174	1
GO:0002699	0.00804550631370883	0.997266144454172	11	57	positive regulation of immune effector process	BP	0.344799347774174	1
GO:0002702	0.00804550631370883	0.997266144454172	11	57	positive regulation of production of molecular mediator of immune response	BP	0.344799347774174	1
GO:0007165	0.00833383868258821	0.993545252243274	166	1575	signal transduction	BP	0.355907362479484	1
GO:0060541	0.00843773105133885	0.995063145407545	37	255	respiratory system development	BP	0.359088665717954	1
GO:0048640	0.00851948051648932	0.99629670687481	17	91	negative regulation of developmental growth	BP	0.361308802181946	1
GO:0048589	0.0085816427303315	0.994531097853251	51	378	developmental growth	BP	0.362685758852142	1
GO:0140678	0.00867143112588872	0.999448897500773	3	6	molecular function inhibitor activity	MF	0.364227461091518	1
GO:0034330	0.00872925232666042	0.994429899782838	51	382	cell junction organization	BP	0.364227461091518	1
GO:0030545	0.00877085388791989	0.996312985176173	15	119	signaling receptor regulator activity	MF	0.364227461091518	1
GO:0046661	0.00878123970893355	0.997656700519056	8	32	male sex differentiation	BP	0.364227461091518	1
GO:0048523	0.00885309315599652	0.993276419587883	137	1316	negative regulation of cellular process	BP	0.364227461091518	1
GO:0005200	0.00885388403376489	0.99784923095519	7	31	structural constituent of cytoskeleton	MF	0.364227461091518	1
GO:0046365	0.00886704749273521	0.998894574263949	4	13	monosaccharide catabolic process	BP	0.364227461091518	1
GO:0005784	0.00887866453831073	0.999761073585464	2	4	Sec61 translocon complex	CC	0.364227461091518	1
GO:0060252	0.0088865059280557	0.999430009630364	3	6	positive regulation of glial cell proliferation	BP	0.364227461091518	1
GO:0046034	0.00905754305073147	0.997009169514913	10	62	ATP metabolic process	BP	0.369599455725414	1
GO:0030055	0.00908827747946904	0.997094602964469	10	44	cell-substrate junction	CC	0.369599455725414	1
GO:0032103	0.00910835403416978	0.995750585737901	19	128	positive regulation of response to external stimulus	BP	0.369599455725414	1
GO:0031330	0.00921737967257012	0.996999311512361	10	51	negative regulation of cellular catabolic process	BP	0.371017083103261	1
GO:0016716	0.00925424675007215	0.999397303211106	3	6	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen	MF	0.371017083103261	1
GO:0002760	0.0092780644782209	0.996777282433547	11	58	positive regulation of antimicrobial humoral response	BP	0.371017083103261	1
GO:0002922	0.0092780644782209	0.996777282433547	11	58	positive regulation of humoral immune response	BP	0.371017083103261	1
GO:0000902	0.00936007452811555	0.993529022927283	74	562	cell morphogenesis	BP	0.371017083103261	1
GO:0043546	0.00941410365535001	1	2	2	molybdopterin cofactor binding	MF	0.371017083103261	1
GO:0010507	0.00942069724927219	0.997705770451748	7	29	negative regulation of autophagy	BP	0.371017083103261	1
GO:0040013	0.00943959736665835	0.99810350187438	6	19	negative regulation of locomotion	BP	0.371017083103261	1
GO:0030509	0.00944705361430442	0.996396709957589	13	64	BMP signaling pathway	BP	0.371017083103261	1
GO:0071773	0.00944705361430442	0.996396709957589	13	64	cellular response to BMP stimulus	BP	0.371017083103261	1
GO:0098552	0.00952859535126427	0.99575546646924	17	110	side of membrane	CC	0.373020075706224	1
GO:0045824	0.00957303350953703	0.997602378211777	7	35	negative regulation of innate immune response	BP	0.373562400273116	1
GO:1901379	0.00962885632431682	0.998311797584685	5	20	regulation of potassium ion transmembrane transport	BP	0.374544111927406	1
GO:0008340	0.00967283298987	0.995010734094892	24	173	determination of adult lifespan	BP	0.37506026075642	1
GO:0048843	0.00971559840527914	0.999453341371635	3	5	negative regulation of axon extension involved in axon guidance	BP	0.375526325702783	1
GO:0006210	0.00978619735459333	1	2	2	thymine catabolic process	BP	0.375876146191833	1
GO:0019859	0.00978619735459333	1	2	2	thymine metabolic process	BP	0.375876146191833	1
GO:0051960	0.009913512138808	0.994376200441176	32	220	regulation of nervous system development	BP	0.379572530606273	1
GO:0040007	0.00998008977848504	0.99339653472803	58	445	growth	BP	0.380184335018414	1
GO:0051262	0.00999313322922569	0.999330058900752	3	6	protein tetramerization	BP	0.380184335018414	1
GO:0002165	0.0100399100391085	0.993097579807521	70	561	instar larval or pupal development	BP	0.380184335018414	1
GO:0004566	0.0101162525692635	1	2	2	beta-glucuronidase activity	MF	0.380184335018414	1
GO:0019389	0.0101162525692635	1	2	2	glucuronoside metabolic process	BP	0.380184335018414	1
GO:0019391	0.0101162525692635	1	2	2	glucuronoside catabolic process	BP	0.380184335018414	1
GO:0038061	0.0102361362743154	0.999412474265082	3	5	NIK/NF-kappaB signaling	BP	0.383509719185548	1
