	GSM461176_untreat_single_featureCounts.counts	GSM461177_untreat_paired_featureCounts.counts	GSM461178_untreat_paired_featureCounts.counts	GSM461182_untreat_single_featureCounts.counts	GSM461181_treat_paired_featureCounts.counts	GSM461180_treat_paired_featureCounts.counts	GSM461179_treat_single_featureCounts.counts
FBgn0027574	470.403871573201	482.224226369808	393.578641149783	399.168264392016	385.480194304489	363.092110136803	413.252616831533
FBgn0260746	949.825069758029	1059.33773599303	1205.04966189876	728.336248598375	1439.70078959089	1279.04051965886	1209.86521196745
FBgn0037930	2340.49721830671	1925.78578143813	2325.00123922459	2087.50835553653	2351.05971542259	2269.69923990866	2394.5576757015
FBgn0038709	0.500962589534826	0	0	0	0	1.49420621455475	0.524432254862352
FBgn0027095	1834.52500287653	1550.89533448612	1990.68733554523	1936.67441846982	2184.7982897641	1918.56077948829	2136.01257405436
FBtr0309605_df_nrg	0	0	0	0	0	0	0
FBgn0051450	212.909100552301	194.445252568471	255.294253718778	234.167603954398	229.071297573914	203.212045179445	209.248469690078
FBgn0038774	0.500962589534826	0	0	0	0	0	0
FBgn0037794	280.539050139502	205.334186712305	200.588342207611	210.834177225846	205.671541370127	209.188870037664	307.317301349338
FBgn0039229	1578.0321570347	1743.78502503405	1627.50086745721	1605.00642425683	1652.76172765695	1700.4066721633	1332.58235960524
FBgn0065064	31.560643140694	18.6667442465732	6.07843461235186	31.6667934173207	13.5472272758766	25.4015056474307	33.0392320563282
FBti0019348	0.500962589534826	0	1.51960865308797	0.83333666887686	0	0	0
FBgn0038737	127.244497741846	127.556085684917	179.31382106438	157.500630417726	181.040219050351	162.868477386467	140.023412048248
FBgn0262431	0	0	0	0	0	0	0
FBti0063768	0.500962589534826	0	0	0	0	0	0
FBgn0037399	0.500962589534826	0	0	0.83333666887686	0	0	1.0488645097247
FBti0019411	0	0	0	0	0	0	0
FBti0020393	0.500962589534826	1.55556202054777	3.03921730617593	0	0	0	0.524432254862352
FBgn0039291	95.6838546011517	66.8891668835539	63.8235634296945	93.3337069142083	61.5783057994392	50.8030112948613	104.88645097247
FBgn0037547	2.0038503581393	1.55556202054777	0	0.83333666887686	0	0	1.0488645097247
FBgn0038966	404.276809754604	337.556958458865	387.500206537431	388.334887696617	304.19683064923	254.015056474307	307.317301349338
FBgn0037690	6.01155107441791	4.6666860616433	3.03921730617593	4.1666833443843	2.46313223197757	8.96523728732847	6.29318705834822
FBti0019321	2.50481294767413	1.55556202054777	9.11765191852779	2.50001000663058	3.69469834796635	1.49420621455475	1.0488645097247
FBgn0038783	1.00192517906965	0	0	0.83333666887686	0	0	0.524432254862352
FBgn0011998	0	0	0	0	0	0	0
FBgn0038055	268.014985401132	311.112404109553	275.049166208922	270.001080716103	331.291285200983	342.173223133037	266.411585470075
FBgn0261453	0	0	0	0.83333666887686	0	0	0
FBgn0261792	431.82975217902	356.223702705438	340.392338291704	372.501490987956	325.133454621039	297.347036696394	338.258804386217
FBgn0040606	1.00192517906965	0	0	0	0	0	0
FBgn0037709	230.943753775555	264.44554349312	340.392338291704	322.501290855345	243.850090965779	254.015056474307	283.19341762567
FBti0059826	0	0	0	0	0	0	0.524432254862352
FBgn0051106	1.00192517906965	0	1.51960865308797	0.83333666887686	0	1.49420621455475	1.57329676458705
FBti0019291	44.5856704685995	46.666860616433	51.6666942049908	65.8335968412719	16.0103595078542	31.3783305056497	30.9415030368787
FBgn0039131	2.0038503581393	3.11112404109553	6.07843461235186	3.33334667550744	3.69469834796635	2.98841242910949	7.86648382293527
FBgn0267686	0	0	0	0	0	0	0
FBti0062552	0	0	0	0	0	0	0
FBti0061858	0	0	0	0	0	0	0
FBgn0037777	57.6106977965049	46.666860616433	44.068650939551	51.6668734703653	41.8732479436187	35.8609491493139	50.8699287216481
FBgn0046685	1041.5012236429	1274.00529482862	1291.66735512477	1143.33790969905	1408.91163669117	1495.7004207693	1097.6367094269
FBgn0259733	0	0	0	0	0	0	0
FBgn0266388	5.51058848488308	3.11112404109553	6.07843461235186	2.50001000663058	4.92626446395514	7.47103107277373	2.62216127431176
FBti0061730	0	0	0	0	0	0	0
FBgn0267561	1.00192517906965	0	0	0	0	0	2.62216127431176
FBgn0038993	9.01732661162686	12.4444961643821	4.5588259592639	12.5000500331529	8.62096281192149	2.98841242910949	10.488645097247
FBgn0262971	0	0	0	0	0	0	0
FBgn0039313	4.50866330581343	0	3.03921730617593	0.83333666887686	0	1.49420621455475	4.19545803889881
FBgn0004395	968.861648160353	896.003723835513	770.441587115598	850.003402254397	704.455818345584	681.358033836964	873.704136600678
FBgn0051201	1.50288776860448	1.55556202054777	0	6.66669335101488	0	0	3.14659352917411
FBgn0266674	449.864405402273	409.112811404062	455.88259592639	518.335408041407	470.458256307716	493.088050803066	477.23335192474
FBgn0267767	0	0	1.51960865308797	0	0	0	1.0488645097247
FBgn0039019	206.897549477883	259.778857431477	296.323687352153	235.000940623274	312.817793461151	325.736954772934	242.287701746406
FBti0062939	0	0	0	0	0	0	0
